codigo;descricao
1.01.00.00-8;Código Procedimento Porte CONSULTAS
1.01.01.01-2;Consulta em horário normal ou preestabelecido
1.01.01.02-0;Consulta em domicílio
1.01.01.03-9;Consulta em pronto-socorro
1.01.02.01-9;Visita hospitalar a paciente internado
1.01.02.02-7;Visita ou consulta hospitalar do médico assistente
1.01.03.01-5;Atendimento ao recém-nascido em berçário
1.01.03.03-1;Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de alto risco)
1.01.03.02-3;Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de baixo risco)
1.01.04.01-1;Atendimento do intensivista diarista (por turno e por paciente)
1.01.04.02-0;Atendimento médico do intensivista em UTI geral ou pediátrica (plantão de 12 horas – por paciente)
1.01.05.07-7;Acompanhamento médico para transporte intra-hospitalar de pacientes graves, com ventilação assistida, da UTI para o centro de diagnóstico
1.01.05.08-5;Avaliação hemoterápica
1.01.05.05-0;Transporte extra-hospitalar aéreo ou aquático de pacientes graves, 1ª hora – a partir do deslocamento do médico
1.01.05.06-9;Transporte extra-hospitalar aéreo ou aquático de pacientes graves, por hora adicional
1.01.05.03-4;Transporte extra-hospitalar terrestre de pacientes graves, 1ª hora – a partir do deslocamento do médico
1.01.05.04-2;Transporte extra-hospitalar terrestre de pacientes graves, por hora adicional – até o retorno do médico à base
1.01.06.01-4;Aconselhamento genético
1.01.06.15-4;Atendimento ambulatorial oftalmológico de criança pré-verbal (< 4 anos) ou crianças com déficit intelectual, dificuldade de comunicação ou pouco colaborativas realizado em consultório
1.01.06.14-6;Atendimento ambulatorial em puericultura
1.01.06.03-0;Atendimento ao familiar do adolescente
1.01.06.16-2;Atendimento para avaliação oftalmológica ao recém-nascido em berçário ou UTI
1.01.06.04-9;Atendimento pediátrico a gestantes (3º trimestre)
1.01.06.17-0;Consulta ocupacional
1.01.06.11-1;Exame de aptidão física e mental para concessão de benefícios fiscais conferidos pela Secretaria da Receita Federal e da Fazenda Estadual, a que fazem jus portadores de mobilidade reduzida, com necessidade de adaptação veicular
1.01.06.12-0;Exame de aptidão física e mental para ratificação, quando a condição física e mental assim o requerer, dos exames realizados pelo órgão previdenciário, incluindo restrição ou liberação para a condução de veículo automotor
1.01.06.06-5;Exame de aptidão física e mental, ou em portadores de mobilidade reduzida, para fins de inscrição ou renovação de CNH (Carteira Nacional de Habilitação)
1.01.06.09-0;Junta Médica – pagamento de honorários médicos referente a 3ª opinião, conforme resolução Consu nº 8
1.01.06.07-3;Junta Médica (três ou mais profissionais) – destina-se ao esclarecimento diagnóstico ou decisão de conduta em caso de difícil solução – por profissional
1.01.06.13-8;Prova de direção veicular em banca especial – Avaliação Clínica durante a prova prática de direção veicular procedida por dois médicos simultaneamente – por profissional
2.01.00.00-0;Código Procedimento Porte Custo Oper. AVALIAÇÕES/ACOMPANHAMENTOS
2.01.01.44-9;Acompanhamento clínico ambulatorial da retinopatia da prematuridade por avaliação do 1º ao 30º dia, até 5 avaliações, em consultório
2.01.01.45-7;Acompanhamento clínico ambulatorial de uveítes anteriores agudas e/ou coriorretinites focal ou disseminada em atividade por avaliação do 1 ao 30º dia, até 5 avaliações, em consultório
2.01.01.41-4;Acompanhamento clínico ambulatorial do tabagista, por avaliação, do 1º ao 90º dia, até 7 avaliações clínicas
2.01.01.40-6;Acompanhamento clínico ambulatorial pós-cirurgia fistulizante antiglaucomatosa – por avaliação do 11º ao 30º dia, até três avaliações
