codigo;descricao;valor;via_acesso;notas
10101012;CONSULTA ELETIVA EM CONSULTORIO NO HORARIO NORMAL OU PREESTABELCIDO; 90,00 ;;
10101039;CONSULTA EM PRONTO-SOCORRO; 130,00 ;;
10102019;VISITA HOSPITALAR A PACIENTE INTERNADO; 90,00 ;;
1113;USO DE EQUIPAMENTO PARA VIDEOCIRURGIA - A PARTIR DE 13/02/2019; 2.000,00 ;;
60098007;TAXA DE INSTRUMENTAÇÃO; 75,00 ;;
40902056;US INTRA-OPERATÓRIO; 292,50 ;;
31005012;ABSCESSO HEPÁTICO - DRENAGEM CIRÚRGICA CONVENCIONAL; 1.028,96 ;;
31103014;AMPLIAÇÃO VESICAL; 2.557,12 ;;
3100503 9;ANASTOMOSE BILIODIGESTIVA INTRAHEPÁTICA; 2.804,16 ;;
31003036;ANOMALIA ANORRETAL - CORREÇÃO VIA SAGITAL POSTERIOR; 2.177,62 ;;
31003044;ANOMALIA ANORRETAL - TRATAMENTO CIRÚRGICO VIA ABDOMINOPERINEAL; 2.417,02 ;;
30101050;APÊNDICE PRÉ AURICULAR - RESSECÇÃO; 430,44 ;;
31003079;APENDICECTOMIA CONVENCIONAL; 1.314,22 ;;
31003583;APENDICECTOMIA POR VIDEOLAPAROSCOPIA; 1.871,96 ;;
31003087;APPLE PEEL - TRATAMENTO CIRÚRGICO; 2.804,16 ;;
31003095;ATRESIA DE CÓLON - TRATAMENTO CIRÚRGICO; 2.009,52 ;;
31003109;ATRESIA DE DUODENO - TRATAMENTO CIRÚRGICO; 2.557,12 ;;
31001017;ATRESIA DE ESÔFAGO COM FÍSTULA TRAQUEAL - TRATAMENTO CIRÚRGICO; 3.428,16 ;;
31001025;ATRESIA DE ESÔFAGO SEM FÍSTULA (DUPLA ESTOMIA) - TRATAMENTO CIRÚRGICO; 2.177,62 ;;
31005047;ATRESIA DE VIAS BILIARES - TRATAMENTO CIRÚRGICO; 4.199,86 ;;
31003117;ATRESIA JEJUNAL DISTAL OU ILEAL – TRATAMENTO CIRÚRGICO; 2.009,52 ;;
31003125;ATRESIA JEJUNAL PROXIMAL - TRATAMENTO CIRÚRGICO; 2.557,12 ;;
30101077;BIÓPSIA DE PELE, TUMORES SUPERFICIAIS, TCSC, LINFONODO SUPERFICIAL, ETC.; 152,80 ;;
31005063;BIÓPSIA HEPÁTICA POR LAPAROTOMIA (ATÉ 3 FRAGMENTOS); 1.028,96 ;;
31101070;BIÓPSIA RENAL CIRÚRGICA UNILATERAL; 1.377,88 ;;
30101948;CANTOPLASTIA UNGUEAL; 247,10 ;;
31008070;CATETER TENCKHOFF - INSTALAÇÃO; 471,20 ;;
31008097;CATETER TENCKHOFF - RETIRADA; 471,20 ;;
31003133;CIRURGIA DE ABAIXAMENTO DE COLON (QUALQUER TÉCNICA); 2.417,02 ;;
31003591;CIRURGIA DE ABAIXAMENTO DE COLON POR VIDEOLAPAROSCOPIA; 3.428,16 ;;
31005098;CISTO DE COLÉDOCO - TRATAMENTO CIRÚRGICO; 1.461,92 ;;
31003150;CISTO MESENTÉRICO - TRATAMENTO CIRÚRGICO CONVENCIONAL; 1.377,88 ;;
31003605;CISTO MESENTÉRICO - TRATAMENTO CIRÚRGICO POR VIDEOLAPAROSCOPIA; 2.009,52 ;;
30803039;CISTO PULMONAR CONGÊNITO - TRATAMENTO CIRÚRGICO; 2.804,16 ;;
31103170;CISTOSTOMIA CIRÚRGICA; 618,90 ;;
31005128;COLECISTECTOMIA SEM COLANGIOGRAFIA; 1.461,92 ;;
31005497;COLECISTECTOMIA SEM COLANGIOGRAFIA POR VIDEOLAPAROSCOPIA; 1.871,96 ;;
31003168;COLECTOMIA PARCIAL COM COLOSTOMIA; 2.009,52 ;;
31003613;COLECTOMIA PARCIAL COM COLOSTOMIA POR VIDEOLAPAROSCOPIA; 3.188,74 ;;
31003176;COLECTOMIA PARCIAL SEM COLOSTOMIA; 1.871,96 ;;
31003192;COLECTOMIA TOTAL COM ILEOSTOMIA; 2.177,62 ;;
31005527;COLÉDOCO OU HEPÁTICO JEJUNOSTOMIA POR VIDEOLAPAROSCOPIA; 2.417,02 ;;
31003214;COLOSTOMIA OU ENTEROSTOMIA; 1.314,22 ;;
31003230;COLOTOMIA E COLORRAFIA; 1.314,22 ;;
30804027;DESCORTICAÇÃO PULMONAR CONVENCIONAL; 2.177,62 ;;
30804159;DESCORTICAÇÃO PULMONAR POR VIDEOTORACOSCOPIA; 2.804,16 ;;
31004067;aaa; 152,80 ;;
30913098;DISSECÇÃO DE VEIA COM COLOCAÇÃO CATETER VENOSO; 308,87 ;;
30913080;DISSECÇÃO DE VEIA EM RN OU LACTENTE; 452,07 ;;
31003265;DIVERTÍCULO DE MECKEL - EXÉRESE CONVENCIONAL; 1.377,88 ;;
31003664;DIVERTÍCULO DE MECKEL - EXÉRESE POR VIDEOLAPAROSCOPIA; 1.871,96 ;;
31001262;DRGE - TRATAMENTO CIRÚRGICO (HÉRNIA DE HIATO) CONVENCIONAL; 1.698,82 ;;
31001360;DRGE - TRATAMENTO CIRÚRGICO (HÉRNIA DE HIATO) POR VIDEOLAPAROSCOPIA; 2.417,02 ;;
31009280;DUCTO ONFALOMESENTÉRICO (CISTO OU FÍSTULA OU RESTO) - RESSECÇÃO; 1.314,22 ;;
31003273;DUPLICAÇÃO DO TUBO DIGESTIVO - TRATAMENTO CIRÚRGICO; 1.461,92 ;;
31102093;DUPLICAÇÃO PIELOURETERAL - TRATAMENTO CIRÚRGICO; 1.461,92 ;;
31003281;ENTERECTOMIA SEGMENTAR CONVENCIONAL; 1.377,88 ;;
31003672;ENTERECTOMIA SEGMENTAR POR VIDEOLAPAROSCOPIA; 2.009,52 ;;
31003680;ENTERO ANASTOMOSE (QUALQUE SEGMENTO) POR VIDEOLAPAROSCOPIA; 1.871,96 ;;
31003290;ENTERO ANASTOMOSE (QUALQUER SEGMENTO) CONVENCIONAL; 1.314,22 ;;
31003303;ENTEROCOLITE NECROTIZANTE - TRATAMENTO CIRÚRGICO; 2.009,52 ;;
31003320;ENTEROTOMIA E/OU ENTERORRAFIA DE QUALQUER SEGMENTO; 1.314,22 ;;
31206077;EPISPADIA - RECONSTRUÇÃO POR ETAPA; 2.177,62 ;;
31206085;EPISPADIA COM INCONTINÊNCIA - TRATAMENTO CIRÚRGICO; 2.417,02 ;;
31001068;ESOFAGOPLASTIA (COLOPLASTIA); 4.199,86 ;;
31001076;ESOFAGOPLASTIA (GASTROPLASTIA); 3.428,16 ;;
31001220;ESOFAGOSTOMIA; 1.698,82 ;;
31007031;ESPLENECTOMIA TOTAL - CONVENCIONAL; 1.377,88 ;;
31007066;ESPLENECTOMIA TOTAL - VIDEOLAPAROSCÓPICA; 2.009,52 ;;
31101100;ESTENOSE DE JUNÇÃO PIELOURETRAL – TRATAMENTO CIRÚRGICO; 1.491,62 ;;
30806020;EVENTRAÇÃO DIAFRAGMÁTICA – TRATAMENTO CIRÚRGICO; 2.557,12 ;;
31103260;EXTROFIA EM CLOACA - TRATAMENTO CIRÚRGICO; 5.608,32 ;;
31103278;EXTROFIA VESICAL -TRATAMENTO CIRÚRGICO; 4.622,66 ;;
31003362;FECALOMA - REMOÇÃO MANUAL; 247,10 ;;
31003370;FECHAMENTO DE COLOSTOMIA OU ENTEROSTOMIA; 1.461,92 ;;
31004148;FISTULECTOMIA ANAL - EM UM TEMPO; 715,68 ;;
30203015;FRENOTOMIA LINGUAL; 271,26 ;;
31002137;GASTROENTEROANASTOMOSE; 1.217,40 ;;
31002145;GASTRORRAFIA; 715,68 ;;
31002056;GASTROSTOMIA CONFECÇÃO / FECHAMENTO; 715,68 ;;
31002161;GASTROTOMIA CONVENCIONAL PARA RETIRADA DE CE OU LESÃO; 1.314,22 ;;
30101832;HEMANGIOMAS GRANDES – TRATAMENTO CIRÚRGICO; 1.871,96 ;;
31005276;HEPATORRAFIA; 1.028,96 ;;
30806038;HÉRNIA DIAFRAGMÁTICA - TRATAMENTO CIRÚRGICO; 3.188,74 ;;
31009085;HERNIORRAFIA CRURAL UNILATERAL - CONVENCIONAL; 1.314,22 ;;
31009158;HERNIORRAFIA ENCARCERADA SEM RESSECÇÃO INTESTINAL; 1.217,40 ;;
31009093;HERNIORRAFIA EPIGÁSTRICA; 618,90 ;;
31009077;HERNIORRAFIA ESTRANGULADA COM RESSECÇÃO INTESTINAL - CONVENCIONAL; 1.314,22 ;;
31009310;HERNIORRAFIA ESTRANGULADA COM RESSECÇÃO INTESTINAL - VIDEOLAPAROSCOPIA; 1.553,64 ;;
31009107;HERNIORRAFIA INCISIONAL; 929,64 ;;
31009069;HÉRNIORRAFIA INGUINAL ENCARCERADA NO RN OU LACTENTE; 1.377,88 ;;
31009360;HERNIORRAFIA INGUINAL UNILATERAL NA CRIANÇA; 1.028,96 ;;
31009123;HERNIORRAFIA INGUINAL UNILATERAL NO RN OU LACTENTE; 1.217,40 ;;
31009336;HERNIORRAFIA INGUINAL UNILATERAL POR VIDEOLAPAROSCOPIA; 1.028,96 ;;
31009140;HERNIORRAFIA RECIDIVANTE; 1.217,40 ;;
31009166;HERNIORRAFIA UMBILICAL; 716,30 ;;
